id,lat,lon,start,end,citation,EEZ
231,19.56582,-92.23669,2024-02-08,2024-02-08,UNEP IMEO MARS,Mexico
232,19.56582,-92.23726,2024-02-16,2024-02-16,UNEP IMEO MARS,Mexico
233,19.56664,-92.23726,2023-07-07,2023-07-07,UNEP IMEO MARS,Mexico
234,19.59143,-92.20196,2023-11-20,2023-11-20,UNEP IMEO MARS,Mexico
235,19.56637,-92.23754,2023-11-20,2023-11-20,UNEP IMEO MARS,Mexico
236,19.56691,-92.23783,2024-03-27,2024-03-27,UNEP IMEO MARS,Mexico
237,19.59115,-92.20196,2024-07-25,2024-07-25,UNEP IMEO MARS,Mexico
238,19.5661,-92.2384,2024-06-23,2024-06-23,UNEP IMEO MARS,Mexico
239,19.60293,-92.29544,2023-08-08,2023-08-08,UNEP IMEO MARS,Mexico
240,19.59143,-92.20224,2024-08-02,2024-08-02,UNEP IMEO MARS,Mexico
241,19.56637,-92.23726,2023-08-08,2023-08-08,UNEP IMEO MARS,Mexico
242,19.59088,-92.20196,2024-08-10,2024-08-10,UNEP IMEO MARS,Mexico
243,19.60321,-92.29716,2023-07-23,2023-07-23,UNEP IMEO MARS,Mexico
244,19.56637,-92.23697,2023-04-10,2023-04-10,UNEP IMEO MARS,Mexico
245,19.5661,-92.23754,2024-05-06,2024-05-06,UNEP IMEO MARS,Mexico
246,19.60347,-92.29372,2023-09-17,2023-09-17,UNEP IMEO MARS,Mexico
247,19.56664,-92.23726,2023-09-17,2023-09-17,UNEP IMEO MARS,Mexico
248,19.59088,-92.20196,2024-09-19,2024-09-19,UNEP IMEO MARS,Mexico
249,19.59115,-92.20196,2024-08-18,2024-08-18,UNEP IMEO MARS,Mexico
250,19.59115,-92.20138,2023-08-24,2023-08-24,UNEP IMEO MARS,Mexico
251,19.56664,-92.23754,2023-10-11,2023-10-11,UNEP IMEO MARS,Mexico
252,19.56637,-92.23726,2023-05-12,2023-05-12,UNEP IMEO MARS,Mexico
253,7.59287,102.98695,2022-04-07,2022-04-07,UNEP IMEO MARS,Malaysia
254,7.59287,102.98614,2024-03-11,2024-03-11,UNEP IMEO MARS,Malaysia
255,7.5918,102.9894,2022-08-13,2022-08-13,UNEP IMEO MARS,Malaysia
256,7.59369,102.98749,2023-04-18,2023-04-18,UNEP IMEO MARS,Malaysia
257,7.59287,102.98641,2024-03-19,2024-03-19,UNEP IMEO MARS,Malaysia
258,7.59314,102.98695,2024-02-08,2024-02-08,UNEP IMEO MARS,Malaysia
259,7.59396,102.98776,2023-06-29,2023-06-29,UNEP IMEO MARS,Malaysia
260,7.59341,102.98695,2023-11-12,2023-11-12,UNEP IMEO MARS,Malaysia
261,7.59314,102.98695,2024-04-28,2024-04-28,UNEP IMEO MARS,Malaysia
262,7.59233,102.98832,2024-09-03,2024-09-03,UNEP IMEO MARS,Malaysia
263,7.59368,102.98695,2024-05-06,2024-05-06,UNEP IMEO MARS,Malaysia
264,7.59315,102.98831,2023-08-24,2023-08-24,UNEP IMEO MARS,Malaysia
265,19.56674,-92.23606,2024-02-09,2024-02-09,UNEP IMEO MARS,Mexico
266,26.58785,52.04422,2023-08-14,2023-08-14,UNEP IMEO MARS,Qatar
267,7.59401,102.9879,2023-04-24,2023-04-24,UNEP IMEO MARS,Malaysia
268,4.047668815914823,106.46242890222533,2020-01-13,2020-01-27,possible venting from flaring dataset,
269,4.047668815914823,106.46242890222533,2020-02-12,2020-03-07,possible venting from flaring dataset,
270,4.047668815914823,106.46242890222533,2020-03-18,2020-04-11,possible venting from flaring dataset,
271,4.047668815914823,106.46242890222533,2020-04-22,2020-04-26,possible venting from flaring dataset,
272,4.047668815914823,106.46242890222533,2020-05-07,2020-05-21,possible venting from flaring dataset,
273,4.047668815914823,106.46242890222533,2020-06-21,2020-06-25,possible venting from flaring dataset,
274,4.047668815914823,106.46242890222533,2020-07-01,2020-07-05,possible venting from flaring dataset,
275,4.047668815914823,106.46242890222533,2020-07-16,2020-07-30,possible venting from flaring dataset,
276,4.047668815914823,106.46242890222533,2020-08-10,2020-08-14,possible venting from flaring dataset,
277,4.047668815914823,106.46242890222533,2020-08-20,2020-09-03,possible venting from flaring dataset,
278,4.047668815914823,106.46242890222533,2020-09-09,2020-10-03,possible venting from flaring dataset,
279,4.047668815914823,106.46242890222533,2020-10-19,2020-11-12,possible venting from flaring dataset,
280,4.047668815914823,106.46242890222533,2021-02-11,2021-03-02,possible venting from flaring dataset,
281,4.047668815914823,106.46242890222533,2021-03-08,2021-03-22,possible venting from flaring dataset,
282,4.047668815914823,106.46242890222533,2021-03-28,2021-04-26,possible venting from flaring dataset,
283,4.047668815914823,106.46242890222533,2021-05-02,2021-07-05,possible venting from flaring dataset,
284,4.047668815914823,106.46242890222533,2021-07-21,2021-07-30,possible venting from flaring dataset,
285,4.047668815914823,106.46242890222533,2021-08-05,2021-08-19,possible venting from flaring dataset,
286,4.047668815914823,106.46242890222533,2021-08-25,2021-08-29,possible venting from flaring dataset,
287,4.047668815914823,106.46242890222533,2021-09-04,2021-09-13,possible venting from flaring dataset,
288,4.047668815914823,106.46242890222533,2021-10-09,2021-10-28,possible venting from flaring dataset,
289,4.047668815914823,106.46242890222533,2021-11-03,2021-11-22,possible venting from flaring dataset,
290,4.047668815914823,106.46242890222533,2022-01-07,2022-01-11,possible venting from flaring dataset,
291,4.047668815914823,106.46242890222533,2022-01-22,2022-01-31,possible venting from flaring dataset,
292,4.047668815914823,106.46242890222533,2022-02-21,2022-03-07,possible venting from flaring dataset,
293,4.047668815914823,106.46242890222533,2022-03-18,2022-04-01,possible venting from flaring dataset,
294,4.047668815914823,106.46242890222533,2022-04-12,2022-04-16,possible venting from flaring dataset,
295,4.047668815914823,106.46242890222533,2022-04-27,2022-05-06,possible venting from flaring dataset,
296,4.047668815914823,106.46242890222533,2022-06-16,2022-07-05,possible venting from flaring dataset,
297,4.047668815914823,106.46242890222533,2022-07-16,2022-07-25,possible venting from flaring dataset,
298,4.047668815914823,106.46242890222533,2022-08-15,2022-09-08,possible venting from flaring dataset,
299,4.047668815914823,106.46242890222533,2022-09-24,2022-10-18,possible venting from flaring dataset,
300,4.047668815914823,106.46242890222533,2022-11-13,2022-11-17,possible venting from flaring dataset,
301,4.047668815914823,106.46242890222533,2022-11-28,2022-12-22,possible venting from flaring dataset,
302,4.047668815914823,106.46242890222533,2023-02-16,2023-02-25,possible venting from flaring dataset,
