lat,lon,start,end,note
-25.70018488746655,-43.15043550855376,2024-02-12,2024-02-21,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2024-03-13,2024-03-17,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2024-03-23,2024-04-16,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2024-04-22,2024-05-21,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2024-06-01,2024-06-05,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2024-06-11,2024-06-20,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2024-07-16,2024-08-09,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2024-08-15,2024-08-24,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2024-08-30,2024-09-03,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2024-09-24,2024-10-03,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2024-10-24,2024-10-28,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2024-11-03,2024-11-07,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2024-11-18,2024-12-02,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2024-12-18,2024-12-22,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2025-01-12,2025-01-16,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2025-01-22,2025-01-31,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2025-02-06,2025-03-02,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2025-03-08,2025-03-12,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2025-03-18,2025-04-08,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2025-04-12,2025-04-21,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2025-04-27,2025-05-11,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2025-05-17,2025-05-21,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2025-06-11,2025-06-20,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2025-06-26,2025-06-27,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2025-07-11,2025-07-17,possible venting from flaring dataset
-25.688832016166906,-43.15138975627848,2016-03-25,2018-01-08,possible venting from flaring dataset
-25.688832016166906,-43.15138975627848,2018-03-05,2018-04-03,possible venting from flaring dataset
-25.688832016166906,-43.15138975627848,2018-04-14,2018-04-23,possible venting from flaring dataset
-25.688832016166906,-43.15138975627848,2018-05-04,2018-06-02,possible venting from flaring dataset
-25.688832016166906,-43.15138975627848,2018-09-11,2018-09-20,possible venting from flaring dataset
-25.688832016166906,-43.15138975627848,2018-10-21,2018-10-30,possible venting from flaring dataset
-25.688832016166906,-43.15138975627848,2018-12-10,2019-01-08,possible venting from flaring dataset
-25.688832016166906,-43.15138975627848,2019-01-19,2019-02-27,possible venting from flaring dataset
-25.688832016166906,-43.15138975627848,2019-05-09,2019-05-18,possible venting from flaring dataset
-25.688832016166906,-43.15138975627848,2019-07-08,2019-08-06,possible venting from flaring dataset
-25.688832016166906,-43.15138975627848,2019-10-26,2019-10-30,possible venting from flaring dataset
-25.688832016166906,-43.15138975627848,2019-11-20,2019-12-04,possible venting from flaring dataset
