sgi,glint_alpha,sid
-0.6757307963069638,28.54323,20230830T162839_20230830T164019_T15QWB
-0.7178482287219493,30.230427,20230830T162839_20230830T164019_T15QWB
-0.6731517552798182,29.592745,20230830T162839_20230830T164019_T15QWB
-0.592727285042282,25.998493,20230830T162839_20230830T164019_T15QWB
-0.6926503287169498,29.48841,20230830T162839_20230830T164019_T15QWB
-0.7108986468017653,31.647646,20230830T162839_20230830T164019_T15QWB
-0.6829533073797363,31.94982,20230830T162839_20230830T164019_T15QWB
-0.6716738178983371,30.326004,20230830T162839_20230830T164019_T15QWB
-0.7890056485356074,34.514404,20230830T162839_20230830T164019_T15QWB
-0.7192335991902477,30.206001,20230830T162839_20230830T164019_T15QWB
-0.7145049860690263,31.849085,20230830T162839_20230830T164019_T15QWB
-0.7434514548188595,33.765667,20230830T162839_20230830T164019_T15QWB
-0.7285981342771478,33.9888,20230830T162839_20230830T164019_T15QWB
-0.653883356648812,27.112549,20230830T162839_20230830T164019_T15QWB
-0.5904821611376491,26.927414,20230830T162839_20230830T164019_T15QWB
-0.5987013057934243,26.863878,20230830T162839_20230830T164019_T15QWB
-0.7155361028923537,28.648394,20230830T162839_20230830T164019_T15QWB
-0.6322580637020697,27.112549,20230830T162839_20230830T164019_T15QWB
-0.749203833230163,31.8468,20230830T162839_20230830T164019_T15QWB
-0.7508571413974373,33.9888,20230830T162839_20230830T164019_T15QWB
-0.7460317557787114,33.771233,20230830T162839_20230830T164019_T15QWB
-0.6910261259464989,31.097334,20230830T162839_20230830T164019_T15QWB
-0.7930184933005647,33.586857,20230830T162839_20230830T164019_T15QWB
-0.3943604373999161,33.9888,20230830T162839_20230830T164019_T15QWB
-0.6722090311726385,28.648394,20230830T162839_20230830T164019_T15QWB
-0.6031645539849566,28.404444,20230830T162839_20230830T164019_T15QWB
-0.7808988694128984,34.6162,20230830T162839_20230830T164019_T15QWB
-0.7703464886031832,33.681763,20230830T162839_20230830T164019_T15QWB
