lat,lon,start,end,note
-25.688832016166906,-43.15138975627848,2018-12-10,2019-01-08,possible venting from flaring dataset
-25.688832016166906,-43.15138975627848,2019-01-19,2019-02-27,possible venting from flaring dataset
-25.688832016166906,-43.15138975627848,2019-05-09,2019-05-18,possible venting from flaring dataset
-25.688832016166906,-43.15138975627848,2019-07-08,2019-08-06,possible venting from flaring dataset
-25.688832016166906,-43.15138975627848,2019-10-26,2019-10-30,possible venting from flaring dataset
-25.688832016166906,-43.15138975627848,2019-11-20,2019-12-04,possible venting from flaring dataset
-25.688832016166906,-43.15138975627848,2019-12-15,2019-12-19,possible venting from flaring dataset
-25.688832016166906,-43.15138975627848,2019-12-25,2020-01-03,possible venting from flaring dataset
-25.688832016166906,-43.15138975627848,2020-01-14,2020-01-18,possible venting from flaring dataset
-25.688832016166906,-43.15138975627848,2020-02-08,2020-02-12,possible venting from flaring dataset
-25.688832016166906,-43.15138975627848,2020-02-23,2020-03-18,possible venting from flaring dataset
-25.688832016166906,-43.15138975627848,2020-03-24,2020-03-28,possible venting from flaring dataset
-25.688832016166906,-43.15138975627848,2020-04-08,2020-04-12,possible venting from flaring dataset
-25.688832016166906,-43.15138975627848,2020-04-18,2020-04-27,possible venting from flaring dataset
-25.688832016166906,-43.15138975627848,2020-05-03,2020-05-22,possible venting from flaring dataset
-25.688832016166906,-43.15138975627848,2020-06-12,2020-06-16,possible venting from flaring dataset
-25.688832016166906,-43.15138975627848,2020-07-12,2020-07-16,possible venting from flaring dataset
-25.688832016166906,-43.15138975627848,2020-07-22,2020-08-15,possible venting from flaring dataset
-25.688832016166906,-43.15138975627848,2020-08-26,2020-09-09,possible venting from flaring dataset
-25.688832016166906,-43.15138975627848,2020-10-20,2020-10-29,possible venting from flaring dataset
-25.688832016166906,-43.15138975627848,2020-11-04,2020-11-08,possible venting from flaring dataset
-25.688832016166906,-43.15138975627848,2020-11-24,2020-11-28,possible venting from flaring dataset
-25.688832016166906,-43.15138975627848,2020-12-04,2020-12-23,possible venting from flaring dataset
-25.688832016166906,-43.15138975627848,2021-01-13,2021-02-01,possible venting from flaring dataset
-25.688832016166906,-43.15138975627848,2021-02-17,2021-02-26,possible venting from flaring dataset
-25.688832016166906,-43.15138975627848,2021-05-03,2021-05-12,possible venting from flaring dataset
-25.688832016166906,-43.15138975627848,2021-05-18,2021-06-01,possible venting from flaring dataset
-25.688832016166906,-43.15138975627848,2021-06-12,2021-06-16,possible venting from flaring dataset
-25.688832016166906,-43.15138975627848,2021-07-22,2021-08-15,possible venting from flaring dataset
-25.688832016166906,-43.15138975627848,2021-08-21,2021-08-30,possible venting from flaring dataset
-25.688832016166906,-43.15138975627848,2021-10-20,2021-10-29,possible venting from flaring dataset
-25.688832016166906,-43.15138975627848,2021-11-04,2021-11-18,possible venting from flaring dataset
-25.688832016166906,-43.15138975627848,2021-11-24,2021-12-03,possible venting from flaring dataset
-25.688832016166906,-43.15138975627848,2021-12-09,2021-12-13,possible venting from flaring dataset
-25.688832016166906,-43.15138975627848,2021-12-19,2021-12-23,possible venting from flaring dataset
-25.688832016166906,-43.15138975627848,2021-12-29,2022-01-02,possible venting from flaring dataset
-25.688832016166906,-43.15138975627848,2022-01-13,2022-01-22,possible venting from flaring dataset
-25.688832016166906,-43.15138975627848,2022-02-02,2022-02-21,possible venting from flaring dataset
-25.688832016166906,-43.15138975627848,2022-02-27,2022-03-03,possible venting from flaring dataset
-25.688832016166906,-43.15138975627848,2022-03-09,2022-04-02,possible venting from flaring dataset
-25.688832016166906,-43.15138975627848,2022-04-18,2022-04-27,possible venting from flaring dataset
-25.688832016166906,-43.15138975627848,2022-05-08,2022-05-22,possible venting from flaring dataset
-25.688832016166906,-43.15138975627848,2022-06-12,2022-06-26,possible venting from flaring dataset
-25.688832016166906,-43.15138975627848,2022-07-02,2022-07-16,possible venting from flaring dataset
-25.688832016166906,-43.15138975627848,2022-07-22,2022-07-31,possible venting from flaring dataset
-25.688832016166906,-43.15138975627848,2022-08-16,2022-08-30,possible venting from flaring dataset
-25.688832016166906,-43.15138975627848,2022-09-05,2022-09-09,possible venting from flaring dataset
-25.688832016166906,-43.15138975627848,2022-10-20,2022-10-29,possible venting from flaring dataset
-25.688832016166906,-43.15138975627848,2022-12-14,2022-12-18,possible venting from flaring dataset
-25.688832016166906,-43.15138975627848,2022-12-24,2022-12-28,possible venting from flaring dataset
-25.688832016166906,-43.15138975627848,2023-01-03,2023-01-07,possible venting from flaring dataset
-25.688832016166906,-43.15138975627848,2023-01-13,2023-01-22,possible venting from flaring dataset
-25.688832016166906,-43.15138975627848,2023-02-22,2023-02-26,possible venting from flaring dataset
-25.688832016166906,-43.15138975627848,2023-03-09,2023-03-28,possible venting from flaring dataset
-25.688832016166906,-43.15138975627848,2023-04-03,2023-04-17,possible venting from flaring dataset
-25.688832016166906,-43.15138975627848,2023-04-23,2023-05-07,possible venting from flaring dataset
-25.688832016166906,-43.15138975627848,2023-05-18,2023-06-01,possible venting from flaring dataset
-25.688832016166906,-43.15138975627848,2023-06-17,2023-07-11,possible venting from flaring dataset
-25.688832016166906,-43.15138975627848,2023-07-22,2023-08-15,possible venting from flaring dataset
-25.688832016166906,-43.15138975627848,2023-08-31,2023-09-24,possible venting from flaring dataset
-25.688832016166906,-43.15138975627848,2023-10-10,2023-10-14,possible venting from flaring dataset
-25.688832016166906,-43.15138975627848,2023-10-20,2023-10-24,possible venting from flaring dataset
-25.688832016166906,-43.15138975627848,2023-10-30,2023-11-18,possible venting from flaring dataset
-25.688832016166906,-43.15138975627848,2023-12-14,2023-12-23,possible venting from flaring dataset
-25.688832016166906,-43.15138975627848,2024-01-08,2024-01-12,possible venting from flaring dataset
-25.688832016166906,-43.15138975627848,2024-01-18,2024-01-22,possible venting from flaring dataset
-25.688832016166906,-43.15138975627848,2024-01-28,2024-02-01,possible venting from flaring dataset
-25.688832016166906,-43.15138975627848,2024-02-12,2024-02-21,possible venting from flaring dataset
-25.688832016166906,-43.15138975627848,2024-03-23,2024-04-16,possible venting from flaring dataset
-25.688832016166906,-43.15138975627848,2024-04-22,2024-05-21,possible venting from flaring dataset
-25.688832016166906,-43.15138975627848,2024-06-01,2024-06-05,possible venting from flaring dataset
-25.688832016166906,-43.15138975627848,2024-06-11,2024-06-20,possible venting from flaring dataset
